ID,Reviewer,Rating,Review Time,Review Content,Owner Response
156,Lucie St Denis,5,2022-07-06,"Magnifique lieu historique,  ambiance chaleureuse , la vue du stage est parfaite de partout dans la salle ..","Wahou, merci Lucie pour ce beau commentaire ! 🤩"
157,Mélissa N Garcia,1,2022-07-06,J'ai apeller il y a une semaine pour avoir des renseignements concernant la location de salle pour un évènement privé et je n'ai jamais eu de retour d'appel. J'ai rappelé et nous sommes lundi 17h et toujours aucune nouvelle... Je vais donc chercher ailleurs merci quand même,"Bonjour Mélissa,

Nous sommes attristés par votre commentaire. Nous faisons notre maximum pour répondre à toutes nos demandes. Il peut arriver qu'un appel laissé sur notre boite vocal sans message soit passé à coté et nous en sommes désolés.

Soyez sûre que même dans nos périodes les plus chargées nous prenons soin de répondre à chacune de nos demandes.

N'hésitez pas à nous contacter pour votre prochain événement, nous serons heureux de vous aider.

Bonne journée!

L'équipe Paradoxe"
158,Fred Goulet,5,2022-07-06,"Salle de spectacle… spectaculaire. Bar service tres rapide et service au table!
Nous y étions pour un spectacle de sugar samy. Salle aménagée en cabaret.",Merci beaucoup Fred !
159,Marc Chartier,5,2022-12-08,"Si le scène était un peu plus haute, ont pourrait tous voir comme il faut.",None
160,Frédéric La Brie,4,2022-07-06,"Superbe endroit dans un église pour faire des spectacles, les gens sont super sympathique et le son voyage si bien dans les églises.","Merci Frédéric !

Au plaisir de vous accueillir pour un autre spectacle !"
161,Loic Larochelle,5,2017-07-07,"Nous avons fait notre party de bureau dans cette ancienne église. C'était magnifique, il y avait beaucoup d'espace. Il y a aussi un écran géant pour les présentations. Un endroit parfait pour les réceptions.",None
162,Roxanne Chagnon,5,2022-09-09,"Bien organisé, belles sélections de consommations, belle salle et bon son, que demande le peuple?",None
163,Ilyes El Ouarzadi,4,2018-07-07,Merveilleux théâtre qui abrite des événements d’ordre entrepreneurial et culturel. À visiter !,None
164,Dani Robin,5,2019-07-07,Belle salle de spectacle multifonctionnelle,None
165,Farah Francisque,5,2023-02-06,Très très belle endroits,None
166,Martin Lebel,2,2017-07-07,"Durant l'évènement ""Cirque de boudoir"", le service de bar fut extrêmement lent ! Il a fallu au minimum, sans exagération, au dessus de 15 minutes pour servir une demi-douzaine de personnes. Pour le reste, le son d'une musique électronique et house dans une ancienne église ce n'est pas ce qu'il y a de meilleur. Chapeau à l'équipe de sécurité : discrète, courtois et chic.",None
167,Annie Champagne,5,2022-08-10,Magnifique endroit pour un spectacle. Accès facile.,None
168,Alain Ducharme,5,2023-06-06,Bien aménagé,Merci de ce commentaire! Au plaisir de vous revoir!
169,Burn Masse Morin,5,2020-07-06,"J'ai loué cette endroit, personnel vraiment humain et professionnel. Très accommodant et généreux super staff, Son de fou et de qualité. Éclairage personnalisé!",None
